,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Type
0,Maruti Wagon,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5.0,1,Maruti
1,Hyundai Creta,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,12,Hyundai
2,Honda Jazz,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,4,Honda
3,Maruti Ertiga,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,6,Maruti
4,Audi A4,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,17,Audi
5,Hyundai EON,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5.0,2,Hyundai
6,Nissan Micra,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,3,Nissan
7,Toyota Innova,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,17,Toyota
8,Volkswagen Vento,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,5,Volkswagen
9,Tata Indica,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74,5.0,1,Tata
10,Maruti Ciaz,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,9,Maruti
11,Honda City,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,4,Honda
12,Maruti Swift,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74,5.0,5,Maruti
13,Land Rover,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,27,Land
14,Land Rover,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179,115,5.0,17,Land
15,Mitsubishi Pajero,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,15,Mitsubishi
16,Honda Amaze,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,5,Honda
17,Maruti Swift,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74,5.0,5,Maruti
18,Renault Duster,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,6,Renault
19,Mercedes-Benz New,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,28,Mercedes-Benz
20,BMW 3,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5.0,18,BMW
21,Maruti S,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,8,Maruti
22,Audi A6,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,23,Audi
23,Hyundai i20,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80,5.0,1,Hyundai
